movie,genre,synopsis,year,rate,duration,votes,popularity
Terminator 3: Rise of the Machines,Action|Sci-Fi|Thriller,A cybernetic warrior from a post-apocalyptic future travels back in time to protect a 25-year old drifter and his future wife from a most advanced robotic assassin and to ensure they both survive a nuclear attack.,2003,6.4,109,313931,1166.0
Traffic,Crime|Drama|Thriller,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",2000,7.6,147,173632,1469.0
Almost Famous,Adventure|Comedy|Drama,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,2000,7.9,122,212643,1002.0
Boiler Room,Crime|Drama|Thriller,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds.",2000,7.0,120,42344,2410.0
"Me, Myself & Irene",Comedy,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,2000,6.5,116,190379,2501.0
Pollock,Biography|Drama,"A film about the life and career of the American painter, Jackson Pollock.",2000,7.0,122,23585,
A Knight's Tale,Action|Adventure|Romance,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",2001,6.9,132,140668,1236.0
Wonder Boys,Comedy|Drama,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in.",2000,7.4,107,55707,
Battlefield Earth,Action|Adventure|Sci-Fi,"After enslavement and near extermination by an alien race in the year 3000, humanity begins to fight back.",2000,2.4,118,66552,1982.0
Little Nicky,Comedy|Fantasy,"After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late.",2000,5.3,90,82544,2772.0
Frequency,Crime|Drama|Mystery,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",2000,7.4,118,84574,2283.0
Space Cowboys,Action|Adventure|Thriller,"When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",2000,6.4,130,61837,3244.0
Gone in Sixty Seconds,Action|Crime|Thriller,A retired master car thief must come back to the industry and steal 50 cars with his crew in one night to save his brother's life.,2000,6.5,118,223486,1388.0
The Patriot,Action|Drama|Historyy,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,2000,7.1,165,213438,884.0
Blade II,Action|Horror|Sci-Fi,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",2002,6.7,117,164050,1700.0
Shadow of the Vampire,Drama|Horror,The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,2000,6.9,92,34859,
"Crouching Tiger, Hidden Dragon",Action|Adventure|Fantasy,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically skilled, adolescent nobleman's daughter, who is at a crossroads in her life.",2000,7.9,120,221957,2121.0
"O Brother, Where Art Thou?",Adventure|Comedy|Crime,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",2000,7.8,107,232646,970.0
Vatel,Biography|Drama|Romance,"In 1671, with war brewing with Holland, a penniless prince invites Louis XIV to three days of festivities at a chateau in Chantilly. The prince wants a commission as a general, so the ... See full summary И",2000,6.6,103,6463,
Vertical Limit,Action|Adventure|Drama,"A climber must rescue his sister on top of K2, one of the world's biggest mountains.",2000,5.9,124,50576,2228.0
The Replacements,Comedy|Sport,"During a pro football strike, the owners hire substitute players.",2000,6.5,118,49276,699.0
Erin Brockovich,Biography|Drama,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,2000,7.3,131,139323,1230.0
Final Destination,Horror|Thriller,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",2000,6.7,98,186452,1432.0
Zoolander,Comedy,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",2001,6.6,90,207208,1460.0
Where the Heart Is,Comedy|Drama|Romance,"A pregnant 17-year-old rebuilds her life after being abandoned by her boyfriend at a Wal-Mart in Sequoyah, Oklahoma.",2000,6.8,120,27563,2755.0
"Monsters, Inc.",Animation|Adventure|Comedy,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",2001,8.1,92,614220,1023.0
Love & Basketball,Drama|Romance|Sport,"In 1981 in L.A., Monica moves in next door to Quincy. They're 11, and both want to play in the NBA, just like Quincy's dad. Their love-hate relationship lasts into high school, with ... See full summary »",2000,7.2,124,14809,1727.0
Coyote Ugly,Comedy|Drama|Music,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",2000,5.6,100,92599,1673.0
Moulin Rouge!,Drama|Musical|Romance,A poet falls for a beautiful courtesan whom a jealous duke covets.,2001,7.6,127,229031,947.0
Men of Honor,Biography|Drama,"The story of Carl Brashear, the first African American, then also the first amputee, US Navy Diver and the man who trained him.",2000,7.2,129,91691,2837.0
